0.554768[   7.3046e-02 ];[   3.9085e-01  -5.4282e+00  -2.0769e+00 ];0.488252 -5.16521 -1.90078
0.0888756[   2.0915e+00 ];[   1.3786e-01  -5.4842e+00  -2.0481e+00 ];0.226315 -5.26464 -1.8676
-0.122899[  -1.0341e+00 ];[  -1.3216e-01  -5.5702e+00  -2.0373e+00 ];-0.034554 -5.34269 -1.86102
-0.325839[   1.9071e+00 ];[  -3.6964e-01  -5.5442e+00  -1.9394e+00 ];-0.30493 -5.45419 -1.90613
-0.562701[  -4.6542e-01 ];[  -6.1168e-01  -5.5144e+00  -1.8325e+00 ];-0.579325 -5.55307 -1.91514
-0.5339[   1.5949e+00 ];[  -8.7619e-01  -5.5559e+00  -1.7873e+00 ];-0.85943 -5.64624 -1.9202
-1.11675[  -2.0276e+00 ];[  -1.1599e+00  -5.6587e+00  -1.7996e+00 ];-1.14392 -5.74717 -1.93518
-1.32886[  -3.6587e-01 ];[  -1.4252e+00  -5.6799e+00  -1.7369e+00 ];-1.43615 -5.84804 -1.88152
-1.43317[  -9.5864e-01 ];[  -1.7009e+00  -5.7331e+00  -1.7066e+00 ];-1.73241 -5.94337 -1.91633
-2.04242[  -2.7706e+00 ];[  -2.0161e+00  -5.8975e+00  -1.7767e+00 ];-2.03169 -6.0369 -1.90462
-2.06522[  -1.9111e+00 ];[  -2.3007e+00  -5.9510e+00  -1.7457e+00 ];-2.33601 -6.14166 -1.91408
-0.479513[  -2.9800e+00 ];[  -2.6055e+00  -6.0518e+00  -1.7573e+00 ];-2.64443 -6.23905 -1.89866
-2.71161[  -1.7741e+00 ];[  -2.8794e+00  -6.0631e+00  -1.6924e+00 ];-2.95809 -6.33047 -1.92947
-3.17616[  -3.2272e+00 ];[  -3.1785e+00  -6.1333e+00  -1.6804e+00 ];-3.28208 -6.43225 -1.9047
-3.29889[  -3.3167e+00 ];[  -3.4853e+00  -6.2129e+00  -1.6767e+00 ];-3.60444 -6.52508 -1.90303
-3.86495[  -4.5989e+00 ];[  -3.8053e+00  -6.3131e+00  -1.6908e+00 ];-3.93136 -6.63227 -1.84584
-4.13151[  -3.6626e+00 ];[  -4.1190e+00  -6.3887e+00  -1.6831e+00 ];-4.26687 -6.72849 -1.85153
-4.60455[  -5.0273e+00 ];[  -4.5025e+00  -6.6041e+00  -1.7954e+00 ];-4.6059 -6.81493 -1.88313
-3.79457[  -5.1376e+00 ];[  -4.8369e+00  -6.6978e+00  -1.7987e+00 ];-4.94902 -6.90605 -1.90755
-3.10931[  -5.7487e+00 ];[  -5.1799e+00  -6.7995e+00  -1.8087e+00 ];-5.29574 -7.00617 -1.9061
-3.68355[  -6.2376e+00 ];[  -5.5310e+00  -6.9074e+00  -1.8233e+00 ];-5.65124 -7.10054 -1.89499
-2.91797[  -6.2784e+00 ];[  -5.8844e+00  -7.0096e+00  -1.8324e+00 ];-6.01166 -7.1954 -1.90826
-5.61977[  -5.8127e+00 ];[  -6.2274e+00  -7.0831e+00  -1.8178e+00 ];-6.37667 -7.28543 -1.92356
-3.70648[  -7.2295e+00 ];[  -6.5974e+00  -7.1982e+00  -1.8369e+00 ];-6.74422 -7.38788 -1.90941
-6.50231[  -7.3195e+00 ];[  -6.9668e+00  -7.3025e+00  -1.8465e+00 ];-7.11604 -7.47326 -1.92923
-5.73694[  -6.7981e+00 ];[  -7.3163e+00  -7.3649e+00  -1.8240e+00 ];-7.49035 -7.55436 -1.95311
-7.07825[  -7.1390e+00 ];[  -7.6664e+00  -7.4232e+00  -1.7997e+00 ];-7.86888 -7.64963 -1.96876
-7.29784[  -8.5293e+00 ];[  -8.0556e+00  -7.5378e+00  -1.8174e+00 ];-8.25829 -7.76259 -1.92438
